region,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)",average_value_Births attended by skilled health staff (% of total),"average_value_Children out of school, primary, female","average_value_Children out of school, primary, male","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Mortality rate, adult, female (per 1,000 female adults)","average_value_Mortality rate, adult, male (per 1,000 male adults)","average_value_Persistence to last grade of primary, female (% of cohort)","average_value_Persistence to last grade of primary, male (% of cohort)","average_value_Primary education, teachers (% female)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Repeaters, primary, female (% of female enrollment)","average_value_Repeaters, primary, male (% of male enrollment)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, general pupils (% female)","average_value_Secondary education, pupils (% female)","average_value_Secondary education, teachers (% female)","average_value_Secondary education, vocational pupils (% female)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)","average_value_Trained teachers in primary education, female (% of female teachers)","average_value_Trained teachers in primary education, male (% of male teachers)",decade,secondary_gap
East Asia & Pacific,1960.0,,,71.78922352941176,,,,,,,,,,,,,,,,,,,,,,5.736588235294118,57.12688235294118,52.55139495798319,283.6647647058823,356.97576470588234,,,,,,,,,,,,,,,,,,55.043577941176466,45.16961305882353,,,1960.0,
East Asia & Pacific,1961.0,,,71.30231764705883,,,,,,,,,,,,,,,,,,,,,,5.720176470588235,57.59105882352941,52.97635294117647,279.8035882352941,353.3671176470588,,,,,,,,,,,,,,,,,,55.71643923529412,45.709069882352935,,,1960.0,
East Asia & Pacific,1962.0,,,70.81541176470589,,,,,,,,,,,,,,,,,,,,,,5.69964705882353,58.062176470588234,53.39923529411765,276.3024705882353,349.88064705882357,,,,,,,,,,,,,,,,,,56.38930052941176,46.248526705882355,,,1960.0,
East Asia & Pacific,1963.0,,,70.01281176470587,,,,,,,,,,,,,,,,,,,,,,5.666294117647059,58.57858823529412,53.86676470588235,271.24747058823533,344.109,,,,,,,,,,,,,,,,,,57.125332317647064,46.908360494117645,,,1960.0,
East Asia & Pacific,1964.0,,,69.21021176470587,,,,,,,,,,,,,,,,,,,,,,5.603588235294118,59.069823529411764,54.310529411764705,266.10464705882356,339.1518823529412,,,,,,,,,,,,,,,,,,57.86136410588236,47.56819428235294,,,1960.0,
East Asia & Pacific,1965.0,,,68.40761176470588,,,,,,,,,,,,,,,,,,,,,,5.532294117647059,59.53764705882353,54.71988235294118,261.11341176470586,333.813,,,,,,,,,,,,,,,,,,58.597395894117646,48.22802807058824,,,1960.0,
East Asia & Pacific,1966.0,,,67.60501176470588,,,,,,,,,,,,,,,,,,,,,,5.428176470588235,60.04264705882353,55.16029411764706,255.74129411764704,328.1842352941176,,,,,,,,,,,,,,,,,,59.33342768235294,48.887861858823534,,,1960.0,
East Asia & Pacific,1967.0,,,66.80241176470588,,,,,,,,,,,,,,,,,,,,,,5.361882352941176,60.523999999999994,55.58105882352941,250.5568235294118,322.84905882352945,,,,,,,,,,,,,,,,,,60.06945947058824,49.54769564705882,,,1960.0,
East Asia & Pacific,1968.0,,,65.51381176470588,,,,,,,,,,,,,,,,,,,,,,5.285823529411765,60.92711764705882,55.92941176470588,247.54388235294118,320.95447058823527,,,,,,,,,,,,,,,,,,60.562652529411764,49.87683549411764,,,1960.0,
East Asia & Pacific,1969.0,,,64.22521176470589,,,,,,,,,,,,,,,,,,,,,,5.195882352941176,61.333705882352945,56.25788235294118,244.3431176470588,319.2698823529412,,,,,,,,,,,,,,,,,,61.055845588235286,50.205975341176476,,,1960.0,
East Asia & Pacific,1970.0,83.21911,90.66641,62.93661176470588,,158131.0,91467.0,,,,,,,13.232183218002305,25.056517283121746,18.948113123575865,4.026170030236242,9.10732492804529,6.470412522554398,4.79645013809204,14.5675897598267,9.47811985015869,19.465867360432927,29.034666697184235,24.082423210144068,5.115705882352941,61.66458823529412,56.55564705882353,241.86082352941176,318.2592352941177,,,48.912461280822804,,,0.0,0.0,34.481885290145875,30.37048,42.52882843017579,43.88303,5.901945972442618,10.873408257961273,42.63579,40.53029,39.815330505371094,25.588046,61.549038647058815,50.535115188235295,,,1970.0,-13.512549999999997
East Asia & Pacific,1971.0,79.439516,84.516288,61.648011764705885,,862728.4,637116.4,,,,,,,36.04007005691528,39.45543146133424,37.697461605072014,5.089914999902248,16.98498579859732,10.976374998688698,,,,,,,5.048,61.95947058823529,56.806823529411766,238.06676470588238,315.4780588235294,72.20693715413414,75.65579096476237,45.88741073608399,61.210485000000006,81.262945,7.917426666666667,6.193616666666667,24.00730612874031,30.223435000000002,32.611628472805016,44.61168,8.447478311757264,11.347565104564028,40.04656,38.878372222222225,32.87249851226809,33.21191875,62.04223170588236,50.864255035294114,,,1970.0,-14.388245
East Asia & Pacific,1972.0,82.42343333333334,88.45923,60.35941176470589,,1130829.3333333333,801785.3333333334,,,,,,,,,,,,,,,,,,,4.9165882352941175,62.14776470588235,56.988176470588236,234.74947058823528,313.34864705882353,94.81984965006511,95.77771759033203,45.55831623077394,66.42874499999999,76.102025,5.2363800000000005,8.3651925,33.764157499585856,26.166156666666666,42.28944880621772,38.305413333333334,4.739196190610532,9.529878996312615,39.48223909090909,40.06812571428571,29.226182937622088,32.27139285714286,62.53542476470589,51.19339488235295,,,1970.0,-12.139256666666666
East Asia & Pacific,1973.0,85.104158,88.888098,58.8438,,382312.4,278668.4,,,,,,,5.09999990463257,13.4999504089355,9.30000019073486,0.0,0.400000005960464,0.200000002980232,0.0,0.400000005960464,0.200000002980232,1.10000002384186,3.49998998641968,2.29999995231628,4.777764705882353,62.291117647058826,57.065823529411766,233.65029411764704,312.3744705882353,78.61783123016357,80.63447952270508,47.14631509780885,43.13754,60.19025,5.882697500000001,6.917625,35.020070433616645,20.17475,41.80430912971496,29.200666666666667,7.238085028715439,11.119554089382286,41.5017675,41.110728333333334,30.166745503743485,38.29574,62.91291756117647,51.71660224705882,,,1970.0,-9.025916666666665
East Asia & Pacific,1974.0,80.297905,84.996555,57.32818823529412,,942089.6666666666,650343.6666666666,,,,,,,,,,,,,,,,,,,4.6240000000000006,62.414352941176475,57.22064705882353,233.09552941176472,310.40141176470587,80.8132438659668,82.52291870117188,47.80250906944274,84.587975,81.43977,5.279434,5.896884,42.70045423507691,21.977616666666666,49.193890929222086,31.36466666666667,6.963673137128359,11.937128330270449,42.60637454545454,43.49402888888889,32.10664017995197,42.72337857142857,63.29041035764706,52.239809611764706,,,1970.0,-9.38705
East Asia & Pacific,1975.0,87.35498333333334,90.87592,55.81257647058823,,1095083.0,787693.0,,,,,,,24.2675943374634,39.94018077850345,31.9106044769287,6.923744916915885,11.946010112762451,9.364965200424216,,,,,,,4.458352941176471,62.58935294117647,57.37705882352941,231.36370588235295,308.24876470588237,81.15879535675047,82.56498718261717,48.47709083557129,77.91200666666667,81.47514666666666,3.770965,5.228434999999999,44.613579068865114,28.07757,50.075067656380774,39.45651,7.2752435877919055,12.159016435345032,44.21072090909091,43.6125975,36.44675000508625,41.10849375,63.667903154117646,52.76301697647059,,,1970.0,-11.37894
East Asia & Pacific,1976.0,89.07800666666667,92.38667333333332,54.29696470588235,,999470.3333333334,703830.0,,,,,,,10.5997400283813,17.2860202789307,13.9777698516846,2.52249002456665,4.10968017578125,3.32447004318237,,,,4.97025012969971,9.48060035705566,7.2487998008728,4.335,62.80305882352941,57.59741176470588,230.60205882352943,306.362294117647,81.3344440460205,82.91623020172118,49.364564259847015,77.77444666666666,81.30258333333335,4.1895925,5.7860625,42.6791585445404,30.372329999999998,48.764035320281984,41.999665,7.109615802764881,11.527692692620395,45.011364615384615,44.05198545454545,36.13596224784851,41.755179,64.04539595058823,53.28622434117647,,,1970.0,-11.627335
East Asia & Pacific,1977.0,96.34436,97.19932,52.78135294117647,,94383.0,76682.0,,,,,,,,,,,,,,,,,,,4.226411764705882,63.114823529411765,57.872058823529414,229.57682352941177,304.7730588235294,82.3977861404419,82.11985111236572,49.618642807006836,80.83640000000001,83.11392333333333,6.3876574999999995,8.96257,36.693781518936156,48.747539999999994,43.86213788986206,55.857123333333334,5.625701730449992,8.501358230908723,43.480335,42.495771818181815,40.141190120152054,40.480714,64.42288874705882,53.809431705882346,,,1970.0,-7.109583333333333
East Asia & Pacific,1978.0,79.72297999999999,84.82357333333334,51.77818823529412,,1009144.3333333334,640122.0,,,,,,,,,,,,,,,,,,,4.1160588235294115,63.571823529411766,58.30911764705883,220.83952941176472,295.7424117647059,95.81364186604817,92.92982228597003,45.45519371032716,88.754795,89.8123,4.72301,6.553767499999999,35.716301918029785,34.952315,44.01697485787529,45.865555,6.581424152851099,10.222835922241202,44.40782,43.41158375,36.029626028878354,36.455295,65.36453111529411,54.704890894117646,,,1970.0,-10.913239999999996
